;TAZID,CO_TAZID,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME
1,30001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66905.0,0.0,0.0,0.0,3,BOX ELDER
2,30002,29.8,149.5,5.02,0.0,0.0,0.0,0.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,1.6,66905.0,0.0,0.0,0.0,3,BOX ELDER
3,30003,16.8,63.0,3.75,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.9,51492.0,0.0,0.0,0.0,3,BOX ELDER
4,30004,4.7,13.6,2.89,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.2,51492.0,0.0,0.0,0.0,3,BOX ELDER
5,30005,64.8,167.6,2.59,8.9,1.0,2.1,5.8,17.3,0.6,0.4,1.6,0.5,0.3,0.8,3.1,1.6,0.0,0.0,5.0,3.4,68948.0,0.0,0.0,0.0,3,BOX ELDER
6,30006,7.4,21.1,2.85,4.4,0.0,4.4,0.0,5.5,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.4,51492.0,0.0,0.0,0.0,3,BOX ELDER
7,30007,44.0,110.1,2.5,59.4,6.9,25.2,27.3,151.5,4.6,2.3,8.9,16.3,1.8,4.4,3.8,17.3,89.1,0.0,0.7,2.3,51492.0,0.0,0.0,0.0,3,BOX ELDER
8,30008,50.0,143.4,2.87,44.2,12.1,0.7,31.4,49.7,12.0,0.1,0.5,0.2,28.9,0.2,0.2,2.1,0.0,0.0,2.9,2.6,71055.0,0.0,0.0,0.0,3,BOX ELDER
9,30009,31.2,37.3,1.2,69.5,3.5,54.0,12.0,77.5,2.1,1.4,5.5,48.5,1.1,2.8,2.4,5.7,0.0,0.0,6.4,1.6,51492.0,0.0,0.0,0.0,3,BOX ELDER
10,30010,18.9,55.7,2.95,52.6,0.0,52.6,0.0,54.3,0.0,0.0,0.0,52.6,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,51492.0,0.0,0.0,0.0,3,BOX ELDER
11,30011,7.1,18.4,2.59,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.4,71342.0,0.0,0.0,0.0,3,BOX ELDER
12,30012,19.1,58.2,3.05,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.0,71342.0,0.0,0.0,0.0,3,BOX ELDER
13,30013,10.9,28.2,2.59,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.6,71342.0,0.0,0.0,0.0,3,BOX ELDER
14,30014,17.3,44.5,2.57,0.0,0.0,0.0,0.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.9,71342.0,0.0,0.0,0.0,3,BOX ELDER
15,30015,1.0,2.6,2.6,308.5,21.3,207.4,79.8,330.3,12.8,8.5,124.2,83.2,6.6,16.8,14.3,42.1,20.3,0.0,1.4,0.1,66905.0,0.0,0.0,0.0,3,BOX ELDER
16,30016,57.0,150.8,2.65,66.9,0.0,38.0,28.9,103.5,0.0,0.0,0.5,37.5,0.0,0.0,0.0,28.9,0.0,0.0,33.6,3.0,68948.0,0.0,0.0,0.0,3,BOX ELDER
17,30017,121.9,634.9,5.21,0.0,0.0,0.0,0.0,128.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.3,6.4,71342.0,0.0,0.0,0.0,3,BOX ELDER
18,30018,0.0,0.0,0.0,799.7,49.1,584.5,166.1,803.3,29.5,19.6,457.1,127.4,15.3,38.6,33.0,79.2,0.0,0.0,3.6,0.0,71342.0,0.0,0.0,0.0,3,BOX ELDER
19,30019,194.3,618.9,3.19,49.3,17.6,15.0,16.7,70.9,15.6,2.0,7.7,7.3,1.5,3.9,3.3,8.0,0.0,0.0,11.4,10.2,68948.0,0.0,0.0,0.0,3,BOX ELDER
20,30020,181.2,411.6,2.27,138.1,24.2,32.9,81.0,162.6,18.1,6.1,23.9,9.0,4.8,12.0,10.3,53.9,0.0,0.0,15.0,9.5,79483.0,0.0,0.0,0.0,3,BOX ELDER
21,30021,47.8,126.6,2.65,462.2,21.4,368.3,72.5,501.2,12.8,8.6,340.7,27.6,6.7,16.8,14.4,34.6,0.0,0.0,36.5,2.5,68948.0,0.0,0.0,0.0,3,BOX ELDER
