TAZID,AreaName,AreaType,TOTEMP,TOTHH
170.0,West Warren Center,Neighborhood Center,0.03306396668917168,0.015085195247296056
171.0,West Warren Center,Neighborhood Center,1.0,0.00855342246197326
174.0,West Weber,Neighborhood Center,0.8126599285094294,0.06383776519876483
175.0,West Weber,Neighborhood Center,0.679507563957211,0.061879737629752386
176.0,West 12th Street,Neighborhood Center,0.725612444941315,0.2265211499451252
177.0,West Warren Center,Neighborhood Center,0.013727332110366303,0.009376850446499628
178.0,West Warren Center,Neighborhood Center,0.8686352817430889,0.008080881396249776
181.0,West Weber,Neighborhood Center,1.0,0.09676896949748492
182.0,West Weber,Neighborhood Center,0.9972750364403881,0.18882923606207855
209.0,Plain City Gateway,Neighborhood Center,0.7782352126224418,0.10924295165974514
213.0,Plain City Market Center,Neighborhood Center,0.3095989270032745,0.04794551968930428
214.0,Plain City Gateway,Neighborhood Center,0.48222616165815624,0.0182012676440265
227.0,Farr West 2700 North,Neighborhood Center,0.7188906749638144,0.47612609182453247
228.0,Plain City Gateway,Neighborhood Center,1.0,0.0002761621668204599
231.0,Pleasant View 2700 North,City Center,7.939748359689507e-05,0.0
252.0,Pleasant View 2700 North,City Center,0.38627158804618866,0.9530368812781137
253.0,Pleasant View 2700 North,City Center,0.8801237304042253,0.2953815031886609
254.0,Pleasant View 2700 North,City Center,0.502345114403775,0.016448599319014854
255.0,Pleasant View 2700 North,City Center,0.6876581763393186,0.2486225501900387
257.0,Pleasant View 2700 North,City Center,0.770381146113413,0.41897533736515946
258.0,Pleasant View 2700 North,City Center,0.9950890471534761,0.9950890471534761
259.0,Pleasant View 2700 North,City Center,0.9975045682113469,0.9975045682113469
269.0,North Ogden Downtown,City Center,0.8222897309358836,0.12908973956085906
270.0,North Ogden Downtown,City Center,1.0,0.9814207796363101
271.0,North Ogden Downtown,City Center,0.6806000083132074,0.093904072442918
276.0,North Ogden Downtown,City Center,0.6929222570078406,0.4252673213301303
276.0,North Ogden Southtown,City Center,0.06689970818951367,0.04097441603290761
277.0,North Ogden Downtown,City Center,0.9029323322766108,0.6872452536016038
278.0,North Ogden Downtown,City Center,0.997121060521339,0.33475228515390254
282.0,Harrisville US 89,Neighborhood Center,0.0038918273071457017,0.0021855765455248157
282.0,North Ogden Southtown,City Center,0.9758502613413659,0.5543026356315436
283.0,North Ogden Southtown,City Center,0.9913658597353306,0.21508962015788147
286.0,North Ogden Southtown,City Center,0.38666142233177997,0.09724224703455409
288.0,Pleasant View 2700 North,City Center,0.8800649637704494,0.18161737433230554
289.0,Harrisville US 89,Neighborhood Center,0.09509209409594267,0.06723515776581462
289.0,Pleasant View 2700 North,City Center,1.6923299539606945e-05,1.2093190375654298e-05
291.0,Harrisville US 89,Neighborhood Center,0.9966416995829392,0.6302622769577484
292.0,Five Points,City Center,0.8119478716183088,0.15622886605980624
294.0,Five Points,City Center,0.9229245801537425,0.5800685700822816
313.0,North Ogden Southtown,City Center,0.0027927212507992886,0.00016721833065715233
316.0,Five Points,City Center,0.9719295998399204,0.1533638069289039
322.0,Five Points,City Center,0.710853103115161,0.20019361828853424
323.0,Five Points,City Center,0.9928797992445069,0.8441777153013115
324.0,Five Points,City Center,0.9671744110308124,0.2008231909741969
328.0,Five Points,City Center,0.5602388750638994,0.19752103058179316
329.0,Five Points,City Center,0.48632428666351574,0.041413657635360826
333.0,Ogden 12th Street,City Center,0.07728256621633355,0.07639014888598479
334.0,Ogden 12th Street,City Center,0.6677903628132602,0.46770027219655413
335.0,Ogden 12th Street,City Center,0.7778407372049984,0.18303597273570535
336.0,Ogden 12th Street,City Center,0.90982192582629,0.07969808023895905
337.0,Ogden 12th Street,City Center,0.9549926562667748,0.006420854917114506
340.0,Ogden 12th Street,City Center,0.14598090046761558,0.9998200512757479
341.0,Ogden 12th Street,City Center,0.2773581977254533,0.9116175182385995
342.0,Ogden 12th Street,City Center,0.9696136597177534,0.1204406481451627
343.0,Ogden 12th Street,City Center,0.3953617970415713,0.21420516319259222
344.0,Ogden 12th Street,City Center,0.38937268598246433,0.1315600375481545
345.0,Ogden 12th Street,City Center,0.9919825669426833,0.07234108484773134
346.0,Ogden 12th Street,City Center,0.9154574001837747,0.1348764850251782
347.0,Ogden 12th Street,City Center,0.0868403307795545,0.03712508281518374
351.0,Ogden Downtown,Metropolitan Center,0.0005877346116166949,1.0
351.0,West Haven City Center,City Center,0.009648871489490405,0.0
353.0,Ogden Downtown,Metropolitan Center,0.9951348503430569,0.9975023090392099
354.0,Ogden Downtown,Metropolitan Center,1.0,1.0
355.0,Ogden Downtown,Metropolitan Center,0.13666149884491866,0.1426614328474472
356.0,Ogden Downtown,Metropolitan Center,1.0,1.0
358.0,Ogden Downtown,Metropolitan Center,1.0,1.0
359.0,Ogden Downtown,Metropolitan Center,0.6460872289953496,0.5230720044849081
