N,project_id,TAZID,pctu_ch
10008,20.0,2117.0,0.8652141010434933
10010,20.0,1918.0,0.9988023680022583
10010,20.0,1973.0,0.8748345315896142
10016,16.0,1633.0,0.7511437948084951
10019,16.0,1024.0,0.09066733559506901
10021,17.0,1027.0,0.4873713913359556
10025,20.0,820.0,0.9384983866363252
10025,20.0,821.0,1.0
10025,20.0,860.0,0.6847483397263195
10025,20.0,861.0,0.9311442726284811
10025,20.0,862.0,0.9626775553248725
10035,20.0,737.0,0.9763989962944435
10036,20.0,663.0,0.0
10042,20.0,500.0,0.8638466916434668
10042,20.0,501.0,0.8479786912485509
10046,20.0,367.0,0.31303294717964597
10046,20.0,368.0,0.7851886775913138
10060,20.0,2166.0,0.28205141868563965
10060,20.0,2167.0,0.7589836612002542
10060,20.0,2170.0,0.000974971329329681
10060,20.0,2177.0,0.4975386964831468
10060,20.0,2182.0,0.5521764790542575
15011,18.0,933.0,8.054146497365535e-05
15011,18.0,2010.0,0.521107273257847
15011,18.0,2026.0,0.867928537430038
15011,18.0,2027.0,0.4337664742116865
15011,18.0,2029.0,0.5241816035908186
15011,18.0,2030.0,0.0
15011,18.0,2031.0,0.001487393690003327
15011,18.0,2032.0,0.08262780810572713
15011,18.0,2033.0,0.6256491408088045
15011,18.0,2036.0,0.9998315022957351
15011,18.0,2038.0,0.8986386249567118
15011,18.0,2039.0,0.6221083892616293
15011,18.0,2040.0,0.5917802313959433
15011,18.0,2063.0,1.0
15011,18.0,2072.0,0.7395031124996359
15011,18.0,2073.0,0.009975292361164763
15011,18.0,2074.0,0.7740524714355032
15011,18.0,2082.0,0.993036092862475
15011,18.0,2083.0,0.9153475535265038
15012,18.0,931.0,0.37589971036235825
15012,18.0,1975.0,0.8824003191818185
15012,18.0,1992.0,0.0010940085418912583
15012,18.0,2004.0,0.7663096806381141
15012,18.0,2005.0,0.0
15012,18.0,2006.0,1.0
15014,18.0,1965.0,0.00042325583286754683
15014,18.0,1966.0,0.08249492638578518
15014,18.0,1967.0,0.7937001849554559
15014,18.0,1974.0,0.8642775644275511
15014,18.0,1990.0,0.008080432583777272
15014,18.0,1991.0,0.0
15036,18.0,1739.0,0.904995609518888
15036,18.0,1740.0,0.9658893500471871
15036,18.0,1760.0,0.7833800104126633
15041,14.0,1939.0,0.9254866481546762
15041,14.0,2113.0,0.702804961237741
15041,14.0,2114.0,0.9202712368957631
15041,14.0,2115.0,0.0
15041,14.0,2123.0,0.24558052249737464
15041,14.0,2125.0,1.0
15044,16.0,2106.0,0.0
15044,16.0,2107.0,0.0870117129778554
15044,16.0,2109.0,0.0207284827271944
15046,16.0,1929.0,0.0
15050,18.0,1744.0,0.5999718200698593
15050,18.0,1753.0,0.5381351919078533
15050,18.0,1754.0,0.5338746699200485
15051,16.0,1898.0,0.5409851248359234
15052,18.0,1745.0,0.8160780181418202
15053,16.0,1878.0,0.8094717899120392
15053,16.0,1879.0,0.4244282415046005
15053,16.0,1890.0,0.4850086241464792
15053,16.0,1891.0,0.9459832582926853
15056,16.0,1866.0,0.9965941565200767
15056,16.0,1876.0,0.18638579880555417
15059,18.0,1798.0,0.8619443358959528
15062,16.0,1801.0,0.6055141157011892
15062,16.0,1812.0,0.4139059884006535
15063,16.0,1801.0,0.7103084487084601
15063,16.0,1802.0,0.0012910392522396748
15068,16.0,1658.0,0.9917797835098598
15068,16.0,1668.0,0.8964231644271503
15068,16.0,1669.0,0.7009141162419296
15069,17.0,1383.0,0.4113118915936239
15077,16.0,1619.0,0.6408701348672861
15080,16.0,1491.0,0.6034814419450857
15086,16.0,1471.0,0.6617605357860227
15086,16.0,1472.0,0.892315589191506
15086,16.0,1473.0,1.0
15086,16.0,1481.0,0.9514343631233539
15086,16.0,1482.0,0.7537577714246039
15095,16.0,1443.0,0.8884858249836078
15095,16.0,1444.0,1.0
15095,16.0,1449.0,0.9852932788063082
15095,16.0,1451.0,0.999657435408699
15097,19.0,1453.0,0.9999769747819072
15097,19.0,1455.0,1.0
15098,19.0,1446.0,1.0
15098,19.0,1458.0,1.0
15099,19.0,1447.0,0.9945902165521912
15099,19.0,1460.0,0.899221442436257
15101,17.0,1016.0,0.9577621459417304
15104,16.0,1191.0,0.6406895498813321
15105,17.0,1017.0,0.31023997177954205
15106,19.0,1272.0,0.6511700791506053
15107,19.0,1273.0,0.8526240366401969
15109,16.0,1128.0,0.7858212451281079
15110,17.0,1020.0,0.540673823171504
15119,16.0,1065.0,0.5825071724051158
15120,88.0,1068.0,0.0
15122,17.0,1022.0,0.9158367345057647
15123,16.0,1129.0,1.0
15123,16.0,1133.0,0.3411115006241789
15125,16.0,1069.0,0.6876377375723969
15126,16.0,1070.0,0.7391538106182758
15127,16.0,1135.0,0.9957723765755511
15130,16.0,1028.0,0.002176908709868607
15133,16.0,1077.0,0.8181626336554857
15134,18.0,1146.0,0.5068450859673528
15134,18.0,1147.0,0.0
15135,16.0,1032.0,0.0
15136,16.0,1034.0,0.31282821508059133
15138,18.0,1158.0,0.9670748139215063
15139,18.0,1161.0,0.5215449062510259
15182,130.0,447.0,0.9970956692847954
15183,130.0,176.0,0.0
15185,130.0,217.0,1.0
15186,130.0,174.0,1.0
15186,130.0,175.0,0.7477988932500768
15186,130.0,181.0,0.9760808131791259
15186,130.0,182.0,1.0
15189,130.0,170.0,0.0
15189,130.0,171.0,0.0
15189,130.0,177.0,0.0
15189,130.0,178.0,0.0
20697,83.0,931.0,1.3217801319732831e-09
20697,83.0,932.0,2.5277145758710326e-13
20697,83.0,1994.0,0.8279119706317273
