TAZID,N,project_id,TOTEMP,TOTHH
165.0,-1.0,-1.0,0.9915706195002044,1.0
165.0,15191.0,1.0,0.00842938049979558,0.0
172.0,-1.0,-1.0,0.0,0.9718638357690885
172.0,15185.0,1.0,0.0,0.02813616423091158
173.0,-1.0,-1.0,0.0,0.9968950338230876
173.0,15184.0,1.0,0.0,0.0031049661769125005
176.0,-1.0,-1.0,0.8954849128449389,0.9452037102663934
176.0,15183.0,1.0,0.10451508715506107,0.031395866067439056
176.0,15184.0,1.0,0.0,0.023400423666167493
177.0,-1.0,-1.0,0.9296463954343469,0.9462231159952175
177.0,15189.0,1.0,0.0703536045656531,0.053776884004782526
179.0,-1.0,-1.0,0.0,0.9167306245461122
179.0,15188.0,1.0,0.0,0.08326937545388777
180.0,-1.0,-1.0,0.0,1.0
181.0,-1.0,-1.0,0.7537317577944063,0.9725357102065403
181.0,15186.0,1.0,0.24626824220559385,0.02746428979345967
182.0,-1.0,-1.0,0.6664013940931334,0.847865149116812
182.0,15186.0,1.0,0.3335986059068666,0.15213485088318807
184.0,-1.0,-1.0,0.0,0.9631816561462263
184.0,15185.0,1.0,0.0,0.036818343853773805
185.0,-1.0,-1.0,0.0,0.9602187302551719
185.0,15184.0,1.0,0.0,0.03978126974482818
186.0,-1.0,-1.0,0.8343704057903157,0.9215880711118091
186.0,15183.0,1.0,0.16562959420968423,0.07841192888819089
307.0,-1.0,-1.0,1.0,0.9456262623516074
307.0,15182.0,1.0,0.0,0.05437373764839268
308.0,-1.0,-1.0,0.9462925611914882,0.9854808263845942
308.0,15182.0,1.0,0.05370743880851182,0.014519173615405839
310.0,-1.0,-1.0,0.905249481540015,0.0
310.0,15182.0,1.0,0.09475051845998494,0.0
339.0,-1.0,-1.0,0.9023224303206531,0.0
339.0,15180.0,1.0,0.09767756967934701,0.0
340.0,-1.0,-1.0,0.9123155451333829,1.0
340.0,15180.0,1.0,0.08768445486661718,0.0
351.0,-1.0,-1.0,0.8057007806099783,0.0
351.0,15180.0,1.0,0.1942992193900217,0.0
352.0,-1.0,-1.0,0.8355669590842719,1.0
352.0,15180.0,1.0,0.1644330409157282,0.0
367.0,-1.0,-1.0,0.9624280099255896,0.0
367.0,10046.0,1.0,0.037571990074410325,0.0
368.0,-1.0,-1.0,1.0,1.0
369.0,-1.0,-1.0,0.8217944752486411,0.8217944752486411
369.0,10046.0,1.0,0.17820552475135862,0.17820552475135862
388.0,-1.0,-1.0,1.0,0.0
390.0,-1.0,-1.0,0.8945192152342093,0.8945192152342093
390.0,10046.0,1.0,0.10548078476579087,0.10548078476579087
468.0,-1.0,-1.0,0.7603350204796583,0.8862389599258041
468.0,28117.0,3.0,0.23966497952034163,0.11376104007419575
473.0,-1.0,-1.0,0.933922262282558,0.933922262282558
473.0,27931.0,3.0,0.014156024530666004,0.014156024530666004
473.0,28117.0,3.0,0.05192171318677592,0.05192171318677592
497.0,-1.0,-1.0,0.9387509260906184,0.9383713551140652
497.0,28117.0,3.0,0.06124907390938164,0.06162864488593474
499.0,-1.0,-1.0,0.2913513220346116,0.9194794678341887
499.0,27931.0,3.0,0.7086486779653883,0.08052053216581147
500.0,-1.0,-1.0,0.6198150884739337,0.8544174176150533
500.0,28117.0,3.0,0.3801849115260663,0.14558258238494662
503.0,-1.0,-1.0,0.37013547425531396,0.9015807982407693
503.0,27931.0,3.0,0.6298645257446861,0.09841920175923069
506.0,-1.0,-1.0,0.0,0.9958286486003249
506.0,27931.0,3.0,0.0,0.004171351399675119
507.0,-1.0,-1.0,0.10952752623183637,0.7156140816660039
507.0,27931.0,3.0,0.8904724737681636,0.284385918333996
508.0,-1.0,-1.0,0.0,0.8886435997706618
508.0,27931.0,3.0,1.0,0.11135640022933818
514.0,-1.0,-1.0,0.6116914456407756,0.9338509810714694
514.0,27838.0,3.0,0.3883085543592244,0.06614901892853048
515.0,-1.0,-1.0,1.0,0.9459647899222323
